Name,Twitter/X Handle
Andrej Karpathy,@karpathy
Andrew Ng,@AndrewYNg
Sam Altman,@sama
Gokul Rajaram,@gokulr
Yann LeCun,@ylecun
Fei-Fei Li,@drfeifei
Demis Hassabis,@demishassabis
Dario Amodei,@DarioAmodei
Greg Brockman,@gdb
Ilya Sutskever,@ilyasut
Mustafa Suleyman,@mustafasuleyman
François Chollet,@fchollet
Jeremy Howard,@jeremyphoward
Sebastian Raschka,@rasbt
Soumith Chintala,@soumithchintala
Lex Fridman,@lexfridman
Harrison Chase (LangChain),@hwchase17
Paul Graham,@paulg
Garry Tan,@garrytan
Marc Andreessen,@pmarca
OpenAI,@OpenAI
Anthropic,@AnthropicAI
Google DeepMind,@GoogleDeepMind
Hugging Face,@huggingface
Perplexity,@perplexity_ai
LangChain (Company),@LangChainAI
Mistral AI,@MistralAI
Cohere,@cohere
Stability AI,@StabilityAI
Andreessen Horowitz (a16z),@a16z
